RNCID,CellID,Longitude,Latitude,Type
6182,13666,121.191709,31.287846,
5198,16058,121.220639,31.281873,new
5198,16059,121.209767,31.284987,new
5198,17029,121.221816,31.293837,new
5198,20608,121.221072,31.257603,new
6188,20865,121.205655,31.277705,
6188,21329,121.203915,31.280386,
6188,21331,121.203915,31.280386,
5198,25312,121.217402,31.281802,new
6188,25089,121.211975,31.276588,
6188,25105,121.211975,31.276588,
6188,25761,121.224621,31.278733,
6188,26049,121.211928,31.288649,
6188,26050,121.211928,31.288649,
6188,26051,121.211928,31.288649,
6188,27377,121.208284,31.289647,
6188,27378,121.208284,31.289647,
6188,27393,121.208105,31.289402,
6188,27394,121.208105,31.289402,
6188,27395,121.208105,31.289402,
5198,36811,121.210909,31.27847,new
5198,38198,121.206769,31.28681,new
6188,41092,121.217871,31.2808,new
6188,41093,121.206472,31.284913,new
6188,41122,121.216448,31.2893,new
6188,41124,121.212407,31.282261,new
6188,41139,121.243183,31.259477,new
6188,41146,121.209638,31.285875,new
6188,41148,121.218285,31.288788,new
6182,41123,121.206155,31.294312,
6182,41235,121.206155,31.294312,
6182,41503,121.220505,31.290893,new
6182,44771,121.22292,31.287199,new
6182,44772,121.222617,31.290824,new
6188,22673,121.213001,31.289531,
6188,41065,121.226176,31.287765,new
6188,41094,121.218479,31.276852,new
6188,41076,121.220772,31.275301,new
6188,41149,121.214295,31.280418,new
6188,27379,121.208284,31.289647,
6182,13698,121.191709,31.287846,
6188,40957,121.198241,31.279433,new
6182,41525,121.22085,31.287944,new
