dptno,dp_d_purchased_counts,dp_d_purchased_sum,dp_d_purchased_day_ucounts,dp_first_d_purchased_counts,dp_second_d_purchased_counts,dp_fourth_d_purchased_counts,dp_fifth_d_purchased_counts,dp_trend_d_purchased_counts_df,dp_first_d_purchased_sum,dp_second_d_purchased_sum,dp_fourth_d_purchased_sum,dp_fifth_d_purchased_sum,dp_trend_d_purchased_sum_df,dp_first_d_purchased_day_ucounts,dp_second_d_purchased_day_ucounts,dp_fourth_d_purchased_day_ucounts,dp_fifth_d_purchased_day_ucounts,dp_trend_d_purchased_day_ucounts_df,dp_d_has_p_ucounts,dp_first_d_has_p_ucounts,dp_second_d_has_p_ucounts,dp_fourth_d_has_p_ucounts,dp_fifth_d_has_p_ucounts,dp_trend_d_has_p_ucounts_df,dp_d_has_u_ucounts,dp_first_d_has_u_ucounts,dp_second_d_has_u_ucounts,dp_fourth_d_has_u_ucounts,dp_fifth_d_has_u_ucounts,dp_trend_d_has_u_ucounts_df,dpt_monthly_d_purchased_counts_mean,dpt_monthly_d_purchased_counts_std,dpt_monthly_d_purchased_counts_max,dpt_monthly_d_purchased_counts_median,dpt_monthly_d_purchased_sum_mean,dpt_monthly_d_purchased_sum_std,dpt_monthly_d_purchased_sum_max,dpt_monthly_d_purchased_sum_median,dpt_monthly_d_purchased_day_ucounts_mean,dpt_monthly_d_purchased_day_ucounts_std,dpt_monthly_d_purchased_day_ucounts_max,dpt_monthly_d_purchased_day_ucounts_median,dp_monthly_d_has_p_ucounts_mean,dp_monthly_d_has_p_ucounts_std,dp_monthly_d_has_p_ucounts_max,dp_monthly_d_has_p_ucounts_median,dp_monthly_d_has_u_ucounts_mean,dp_monthly_d_has_u_ucounts_std,dp_monthly_d_has_u_ucounts_max,dp_monthly_d_has_u_ucounts_median,dp_dpt_user_agg_counts_mean,dp_dpt_user_agg_counts_std,dp_dpt_user_agg_counts_max,dp_dpt_user_agg_counts_median,dp_dpt_user_agg_sum_mean,dp_dpt_user_agg_sum_std,dp_dpt_user_agg_sum_max,dp_dpt_user_agg_sum_median,dp_dpt_user_agg_day_ucounts_mean,dp_dpt_user_agg_day_ucounts_std,dp_dpt_user_agg_day_ucounts_max,dp_dpt_user_agg_day_ucounts_median,dp_d_l_w_purchased_counts,dp_d_l_w_purchased_sum,dp_d_l_w_purchased_day_ucounts,dp_d_l_w_has_p_ucounts,dp_d_l_w_has_u_ucounts,dp_d_l_m_purchased_counts,dp_d_l_m_purchased_sum,dp_d_l_m_purchased_day_ucounts,dp_d_l_m_has_p_ucounts,dp_d_l_m_has_u_ucounts,dp_dpt_repeat_buyer_counts,dp_dpt_repeat_buyer_ratio,dp_d_purchased_counts_bias,dp_d_purchased_counts_bias_divide_std,dp_d_purchased_counts_bias_divide_mean,dp_d_purchased_sum__bias,dp_d_purchased_sum__bias_divide_std,dp_d_purchased_sum__bias_divide_mean,dp_d_purchased_day_ucounts_bias,dp_d_purchased_day_ucounts_bias_divide_std,dp_d_purchased_day_ucounts_bias_divide_mean,dp_d_has_u_ucounts_bias,dp_d_has_u_ucounts_bias_divide_std,dp_d_has_u_ucounts_bias_divide_mean
10000,90,344.6999999999998,59,25.0,18.0,24.0,23.0,0.0,80.80000000000003,79.2,93.9,90.80000000000001,4.469999999999996,14.0,15.0,14.0,16.0,0.5,14,7.0,7.0,11.0,9.0,1.0,55,16.0,16.0,17.0,18.0,0.7,22.5,3.1091263510296048,25.0,23.5,86.17500000000001,7.2711186667985706,93.9,85.80000000000001,14.75,0.9574271077563381,16.0,14.5,8.5,1.9148542155126762,11.0,8.0,16.75,0.9574271077563381,18.0,16.5,1.6363636363636365,1.042852859967353,5.0,1.0,6.267272727272728,3.980975803765749,17.0,5.4,1.3636363636363635,0.6766922918967364,4.0,1.0,6.0,24.4,3.0,2.0,4.0,23.0,90.80000000000001,16.0,9.0,18.0,15.0,0.2727272727272727,0.6666666666666679,0.17609018126512507,0.02985074626865677,6.166666666666671,0.7646260304217161,0.07286333202048055,1.666666666666666,2.8867513459481278,0.11627906976744182,1.6666666666666679,2.8867513459481304,0.1020408163265307
10001,16,50.300000000000004,15,2.0,5.0,5.0,4.0,0.6,8.9,13.5,15.3,12.600000000000001,1.2900000000000005,2.0,4.0,5.0,4.0,0.7,3,2.0,1.0,2.0,2.0,0.1,8,2.0,2.0,4.0,3.0,0.5,4.0,1.4142135623730951,5.0,4.5,12.575000000000001,2.694902595642373,15.3,13.05,3.75,1.2583057392117916,5.0,4.0,1.75,0.5,2.0,2.0,2.75,0.9574271077563381,4.0,2.5,2.0,1.3093073414159542,4.0,1.5,6.2875,3.6001736069250887,12.600000000000001,5.4,1.875,1.3562026818605375,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,12.600000000000001,4.0,2.0,3.0,3.0,0.375,0.0,0.0,0.0,0.033333333333333215,0.010099464540584675,0.0026525198938991946,0.3333333333333335,0.2182178902359925,0.09090909090909095,0.3333333333333335,0.28867513459481303,0.12500000000000006
10002,61,389.2999999999999,41,15.0,17.0,19.0,10.0,-1.3,107.2,83.0,96.50000000000001,102.6,-0.030000000000001137,11.0,11.0,12.0,7.0,-1.1,35,10.0,12.0,16.0,7.0,-0.5,36,11.0,12.0,13.0,9.0,-0.5,15.25,3.8622100754188224,19.0,16.0,97.32499999999999,10.507576631491519,107.2,99.55000000000001,10.25,2.217355782608345,12.0,11.0,11.25,3.774917217635375,16.0,11.0,11.25,1.707825127659933,13.0,11.5,1.6944444444444444,1.1666666666666665,7.0,1.0,10.81388888888889,17.127107215969122,89.2,4.9,1.3611111111111112,0.4871361075732195,2.0,1.0,5.0,32.0,3.0,4.0,4.0,10.0,102.6,7.0,7.0,9.0,13.0,0.3611111111111111,-7.0,-3.5,-0.4117647058823529,7.033333333333331,0.5799746317940414,0.0735960934775026,-4.333333333333334,-7.505553499465137,-0.3823529411764706,-3.0,-3.0,-0.25
10008,17,90.39999999999999,16,6.0,6.0,5.0,0.0,-1.9,38.0,29.6,22.8,0.0,-12.08,6.0,5.0,5.0,0.0,-1.8,7,4.0,4.0,3.0,0.0,-1.3,13,5.0,4.0,5.0,0.0,-1.4,4.25,2.8722813232690143,6.0,5.5,22.599999999999998,16.298875216815834,38.0,26.200000000000003,4.0,2.70801280154532,6.0,5.0,2.75,1.8929694486000912,4.0,3.5,3.5,2.3804761428476167,5.0,4.5,1.3076923076923077,0.48038446141526137,2.0,1.0,6.953846153846154,3.61308164512774,13.6,6.8,1.2307692307692308,0.4385290096535146,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.23076923076923078,-5.666666666666667,-9.814954576223638,-1.0,-30.13333333333333,-3.957610410267828,-1.0,-5.333333333333333,-9.23760430703401,-1.0,-4.666666666666667,-8.08290376865476,-1.0
10100,16,191.40000000000003,13,0.0,6.0,5.0,5.0,1.4,0.0,32.3,82.0,77.1,28.1,0.0,3.0,5.0,5.0,1.7,6,0.0,2.0,3.0,4.0,1.3,14,0.0,4.0,5.0,5.0,1.6,4.0,2.70801280154532,6.0,5.0,47.849999999999994,38.95813992821868,82.0,54.699999999999996,3.25,2.362907813126304,5.0,4.0,2.25,1.707825127659933,4.0,2.5,3.5,2.3804761428476167,5.0,4.5,1.1428571428571428,0.36313651960128146,2.0,1.0,13.671428571428573,4.505966740194191,16.8,15.8,1.0,0.0,1.0,1.0,1.0,16.8,1.0,1.0,1.0,5.0,77.1,5.0,4.0,5.0,0.0,0.0,1.3333333333333335,0.41478067789217016,0.3636363636363637,38.99999999999999,0.9441604845208483,1.0236220472440942,2.3333333333333335,0.9271726499455306,0.8750000000000001,2.0,0.7559289460184544,0.6666666666666666
10102,1,15.8,1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,15.8,0.0,1.58,0.0,0.0,1.0,0.0,0.1,1,0.0,0.0,1.0,0.0,0.1,1,0.0,0.0,1.0,0.0,0.1,0.25,0.5,1.0,0.0,3.95,7.900000000000001,15.8,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,15.8,0.0,15.8,15.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-5.266666666666667,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
10103,4,36.2,4,0.0,1.0,0.0,3.0,0.8,0.0,3.5,0.0,32.7,9.46,0.0,1.0,0.0,3.0,0.8,3,0.0,1.0,0.0,3.0,0.8,4,0.0,1.0,0.0,3.0,0.8,1.0,1.4142135623730951,3.0,0.5,9.05,15.852760012060994,32.7,1.75,1.0,1.4142135623730951,3.0,0.5,1.0,1.4142135623730951,3.0,0.5,1.0,1.4142135623730951,3.0,0.5,1.0,0.0,1.0,1.0,9.05,6.441790641325335,16.8,7.95,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,32.7,3.0,3.0,3.0,0.0,0.0,2.6666666666666665,4.618802153517005,8.0,31.533333333333335,15.604952990096741,27.02857142857143,2.6666666666666665,4.618802153517005,8.0,2.6666666666666665,4.618802153517005,8.0
10109,17,288.4000000000001,15,4.0,1.0,4.0,8.0,1.5,67.2,16.8,74.9,129.5,24.5,3.0,1.0,4.0,7.0,1.5,11,3.0,1.0,3.0,7.0,1.4,8,3.0,1.0,3.0,5.0,0.8,4.25,2.8722813232690143,8.0,4.0,72.1,46.132779380103834,129.5,71.05000000000001,3.75,2.5,7.0,3.5,3.5,2.516611478423583,7.0,3.0,3.0,1.632993161855452,5.0,3.0,2.125,0.9910312089651149,4.0,2.0,36.050000000000004,16.478037331117875,67.2,33.6,1.875,0.8345229603962802,3.0,2.0,2.0,33.6,2.0,2.0,2.0,8.0,129.5,7.0,7.0,5.0,5.0,0.625,5.0,2.886751345948129,1.6666666666666667,76.53333333333333,2.4252422131093527,1.4449339207048457,4.333333333333334,2.8368325730679014,1.6250000000000002,2.6666666666666665,2.309401076758503,1.1428571428571428
10110,27,116.49000000000002,22,3.0,8.0,8.0,8.0,1.5,13.9,27.89,32.7,42.0,8.911,3.0,6.0,7.0,6.0,1.0,7,3.0,3.0,5.0,4.0,0.5,22,3.0,5.0,7.0,7.0,1.4,6.75,2.5,8.0,8.0,29.122500000000002,11.71711106317025,42.0,30.295,5.5,1.7320508075688772,7.0,6.0,3.75,0.9574271077563381,5.0,3.5,5.5,1.9148542155126762,7.0,6.0,1.2272727272727273,0.5284134548067254,3.0,1.0,5.295,2.9587284109096275,14.9,4.5,1.0454545454545454,0.21320071635561044,2.0,1.0,3.0,11.9,1.0,2.0,2.0,8.0,42.0,6.0,4.0,7.0,1.0,0.045454545454545456,1.666666666666667,0.577350269189626,0.26315789473684215,17.169999999999998,1.758067272037877,0.6915022150624244,0.666666666666667,0.32025630761017443,0.12500000000000006,2.0,1.0,0.4
10111,6,32.400000000000006,5,1.0,4.0,0.0,1.0,-0.4,6.8,21.6,0.0,4.0,-3.0,1.0,3.0,0.0,1.0,-0.3,2,1.0,2.0,0.0,1.0,-0.2,4,1.0,3.0,0.0,1.0,-0.3,1.5,1.7320508075688772,4.0,1.0,8.100000000000001,9.422667704353511,21.6,5.4,1.25,1.2583057392117916,3.0,1.0,1.0,0.816496580927726,2.0,1.0,1.25,1.2583057392117916,3.0,1.0,1.5,0.5773502691896257,2.0,1.5,8.1,4.031542302064228,13.6,7.4,1.25,0.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,0.25,-0.6666666666666667,-0.3202563076101743,-0.4,-5.466666666666667,-0.4949828444745848,-0.5774647887323944,-0.33333333333333326,-0.2182178902359923,-0.24999999999999994,-0.33333333333333326,-0.2182178902359923,-0.24999999999999994
