bndno,bp_b_purchased_counts,bp_b_purchased_sum,bp_b_purchased_day_ucounts,bp_first_b_purchased_counts,bp_second_b_purchased_counts,bp_fourth_b_purchased_counts,bp_fifth_b_purchased_counts,bp_trend_b_purchased_counts_df,bp_first_b_purchased_sum,bp_second_b_purchased_sum,bp_fourth_b_purchased_sum,bp_fifth_b_purchased_sum,bp_trend_b_purchased_sum_df,bp_first_b_purchased_day_ucounts,bp_second_b_purchased_day_ucounts,bp_fourth_b_purchased_day_ucounts,bp_fifth_b_purchased_day_ucounts,bp_trend_b_purchased_day_ucounts_df,bp_b_has_p_ucounts,bp_first_b_has_p_ucounts,bp_second_b_has_p_ucounts,bp_fourth_b_has_p_ucounts,bp_fifth_b_has_p_ucounts,bp_trend_b_has_p_ucounts_df,bp_b_has_u_ucounts,bp_first_b_has_u_ucounts,bp_second_b_has_u_ucounts,bp_fourth_b_has_u_ucounts,bp_fifth_b_has_u_ucounts,bp_trend_b_has_u_ucounts_df,bp_monthly_b_purchased_counts_mean,bp_monthly_b_purchased_counts_std,bp_monthly_b_purchased_counts_max,bp_monthly_b_purchased_counts_median,bp_monthly_b_purchased_sum_mean,bp_monthly_b_purchased_sum_std,bp_monthly_b_purchased_sum_max,bp_monthly_b_purchased_sum_median,bp_monthly_b_purchased_day_ucounts_mean,bp_monthly_b_purchased_day_ucounts_std,bp_monthly_b_purchased_day_ucounts_max,bp_monthly_b_purchased_day_ucounts_median,bp_monthly_b_has_p_ucounts_mean,bp_monthly_b_has_p_ucounts_std,bp_monthly_b_has_p_ucounts_max,bp_monthly_b_has_p_ucounts_median,bp_monthly_b_has_u_ucounts_mean,bp_monthly_b_has_u_ucounts_std,bp_monthly_b_has_u_ucounts_max,bp_monthly_b_has_u_ucounts_median,bp_bnd_user_agg_counts_mean,bp_bnd_user_agg_counts_std,bp_bnd_user_agg_counts_max,bp_bnd_user_agg_counts_median,bp_bnd_user_agg_sum_mean,bp_bnd_user_agg_sum_std,bp_bnd_user_agg_sum_max,bp_bnd_user_agg_sum_median,bp_bnd_user_agg_day_ucounts_mean,bp_bnd_user_agg_day_ucounts_std,bp_bnd_user_agg_day_ucounts_max,bp_bnd_user_agg_day_ucounts_median,bp_b_l_w_purchased_counts,bp_b_l_w_purchased_sum,bp_b_l_w_purchased_day_ucounts,bp_b_l_w_has_p_ucounts,bp_b_l_w_has_u_ucounts,bp_b_l_m_purchased_counts,bp_b_l_m_purchased_sum,bp_b_l_m_purchased_day_ucounts,bp_b_l_m_has_p_ucounts,bp_b_l_m_has_u_ucounts,bp_bnd_repeat_buyer_counts,bp_bnd_repeat_buyer_ratio,bp_b_purchased_counts_bias,bp_b_purchased_counts_bias_divide_std,bp_b_purchased_counts_bias_divide_mean,bp_b_purchased_sum__bias,bp_b_purchased_sum__bias_divide_std,bp_b_purchased_sum__bias_divide_mean,bp_b_purchased_day_ucounts_bias,bp_b_purchased_day_ucounts_bias_divide_std,bp_b_purchased_day_ucounts_bias_divide_mean,bp_b_has_u_ucounts_bias,bp_b_has_u_ucounts_bias_divide_std,bp_b_has_u_ucounts_bias_divide_mean
-1.0,7122,80522.23000000053,121,1856.0,1725.0,1751.0,1790.0,-17.2,24589.660000000014,18727.629999999954,18105.609999999997,19099.329999999984,-1709.301000000005,29.0,31.0,30.0,31.0,0.5,1024,526.0,491.0,451.0,481.0,-17.5,430,286.0,287.0,275.0,285.0,-1.5,1780.5,56.9824534396335,1856.0,1770.5,20130.557499999988,3000.8689413943257,24589.660000000014,18913.479999999967,30.25,0.9574271077563381,31.0,30.5,487.25,30.923292192132454,526.0,486.0,283.25,5.560275772537426,287.0,285.5,16.592074592074592,15.520382517507427,180.0,12.0,187.5676223776224,168.93800595904347,1337.2999999999972,142.07999999999998,5.10955710955711,4.12192984468577,36.0,4.0,341.0,3419.190000000001,7.0,179.0,88.0,1790.0,19099.329999999984,31.0,481.0,285.0,380.0,0.8837209302325582,12.666666666666742,0.1826311088327334,0.007126781695423899,-1374.9700000000048,-0.3843327909574333,-0.06715589788173494,1.0,1.0,0.03333333333333333,2.3333333333333144,0.35043832202522834,0.008254716981132008
10003.0,2,8.5,2,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,3.5,-0.45,1.0,0.0,0.0,1.0,0.0,2,1.0,0.0,0.0,1.0,0.0,2,1.0,0.0,0.0,1.0,0.0,0.5,0.5773502691896257,1.0,0.5,2.125,2.5289984842489197,5.0,1.75,0.5,0.5773502691896257,1.0,0.5,0.5,0.5773502691896257,1.0,0.5,0.5,0.5773502691896257,1.0,0.5,1.0,0.0,1.0,1.0,4.25,1.0606601717798212,5.0,4.25,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,1.0,1.0,1.0,0.0,0.0,0.6666666666666667,1.1547005383792515,2.0000000000000004,1.8333333333333333,0.6350852961085883,1.0999999999999999,0.6666666666666667,1.1547005383792515,2.0000000000000004,0.6666666666666667,1.1547005383792515,2.0000000000000004
10007.0,42,155.5,30,10.0,8.0,14.0,10.0,0.6,37.1,42.99999999999999,40.6,34.800000000000004,-0.9299999999999983,6.0,8.0,8.0,8.0,0.6,9,6.0,5.0,4.0,4.0,-0.7,25,6.0,8.0,9.0,9.0,1.0,10.5,2.516611478423583,14.0,10.0,38.875,3.6399404757037765,42.99999999999999,38.85,7.5,1.0,8.0,8.0,4.75,0.9574271077563381,6.0,4.5,8.0,1.4142135623730951,9.0,8.5,1.68,1.0295630140987002,4.0,1.0,6.22,4.263801121065569,18.0,5.2,1.36,0.8602325267042626,4.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,34.800000000000004,8.0,4.0,9.0,5.0,0.2,-0.6666666666666661,-0.2182178902359922,-0.062499999999999944,-5.433333333333323,-1.8312295020927452,-0.13504556752278352,0.666666666666667,0.577350269189626,0.09090909090909095,1.333333333333333,0.8728715609439694,0.17391304347826084
10010.0,1,47.0,1,1.0,0.0,0.0,0.0,-0.3,47.0,0.0,0.0,0.0,-14.1,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,11.75,23.5,47.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,47.0,0.0,47.0,47.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-15.666666666666666,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
10012.0,12,796.8,7,5.0,2.0,1.0,4.0,-0.4,431.0,77.8,58.0,230.0,-62.279999999999994,3.0,2.0,1.0,1.0,-0.7,8,5.0,2.0,1.0,2.0,-1.0,8,4.0,2.0,1.0,1.0,-1.0,3.0,1.8257418583505538,5.0,3.0,199.2,172.5835836148193,431.0,153.9,1.75,0.9574271077563381,3.0,1.5,2.5,1.7320508075688772,5.0,2.0,2.0,1.4142135623730951,4.0,1.5,1.5,1.0690449676496976,4.0,1.0,99.6,74.15019506765594,230.0,83.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,230.0,1.0,2.0,1.0,0.0,0.0,1.3333333333333335,0.6405126152203485,0.5000000000000001,41.06666666666669,0.19567714092923053,0.21736062103034595,-1.0,-1.0,-0.5,-1.3333333333333335,-0.8728715609439697,-0.5714285714285715
10015.0,4,22.0,4,3.0,1.0,0.0,0.0,-1.0,18.5,3.5,0.0,0.0,-5.9,3.0,1.0,0.0,0.0,-1.0,2,2.0,1.0,0.0,0.0,-0.7,4,3.0,1.0,0.0,0.0,-1.0,1.0,1.4142135623730951,3.0,0.5,5.5,8.822320178577364,18.5,1.75,1.0,1.4142135623730951,3.0,0.5,0.75,0.9574271077563381,2.0,0.5,1.0,1.4142135623730951,3.0,0.5,1.0,0.0,1.0,1.0,5.5,2.309401076758503,7.5,5.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,-0.8728715609439694,-1.0,-7.333333333333333,-0.7461915576225998,-1.0,-1.3333333333333333,-0.8728715609439694,-1.0,-1.3333333333333333,-0.8728715609439694,-1.0
10033.0,21,191.0,10,5.0,5.0,11.0,0.0,-0.9,30.0,34.0,127.0,0.0,0.3,2.0,2.0,6.0,0.0,-0.2,2,1.0,2.0,2.0,0.0,-0.3,10,2.0,2.0,7.0,0.0,-0.1,5.25,4.5,11.0,5.0,47.75,54.96893061842602,127.0,32.0,2.5,2.516611478423583,6.0,2.0,1.25,0.9574271077563381,2.0,1.5,2.75,2.9860788111948193,7.0,2.0,2.1,0.8755950357709131,4.0,2.0,19.1,12.022663783223935,42.0,12.5,1.1,0.31622776601683794,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,-7.0,-2.0207259421636903,-1.0,-63.666666666666664,-1.160006970047196,-1.0,-3.3333333333333335,-1.4433756729740643,-1.0,-3.6666666666666665,-1.2701705922171764,-1.0
10036.0,1,10.0,1,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,1.0,0.3,1,0.0,0.0,0.0,1.0,0.3,1,0.0,0.0,0.0,1.0,0.3,0.25,0.5,1.0,0.0,2.5,5.0,10.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0,10.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
10038.0,3,27.4,3,2.0,0.0,0.0,1.0,-0.3,11.2,0.0,0.0,16.2,1.4999999999999998,2.0,0.0,0.0,1.0,-0.3,2,1.0,0.0,0.0,1.0,0.0,3,2.0,0.0,0.0,1.0,-0.3,0.75,0.9574271077563381,2.0,0.5,6.85,8.16884324736373,16.2,5.6,0.75,0.9574271077563381,2.0,0.5,0.5,0.5773502691896257,1.0,0.5,0.75,0.9574271077563381,2.0,0.5,1.0,0.0,1.0,1.0,9.133333333333333,6.119912853410033,16.2,5.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.2,1.0,1.0,1.0,0.0,0.0,0.33333333333333337,0.28867513459481287,0.5000000000000001,12.466666666666667,1.9279375060439288,3.339285714285715,0.33333333333333337,0.28867513459481287,0.5000000000000001,0.33333333333333337,0.28867513459481287,0.5000000000000001
10043.0,1,10.0,1,0.0,1.0,0.0,0.0,-0.1,0.0,10.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,-0.1,1,0.0,1.0,0.0,0.0,-0.1,1,0.0,1.0,0.0,0.0,-0.1,0.25,0.5,1.0,0.0,2.5,5.0,10.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0,10.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-3.3333333333333335,-0.5773502691896258,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
