dptno,dp_d_purchased_counts,dp_d_purchased_sum,dp_d_purchased_day_ucounts,dp_first_d_purchased_counts,dp_second_d_purchased_counts,dp_fourth_d_purchased_counts,dp_fifth_d_purchased_counts,dp_trend_d_purchased_counts_df,dp_first_d_purchased_sum,dp_second_d_purchased_sum,dp_fourth_d_purchased_sum,dp_fifth_d_purchased_sum,dp_trend_d_purchased_sum_df,dp_first_d_purchased_day_ucounts,dp_second_d_purchased_day_ucounts,dp_fourth_d_purchased_day_ucounts,dp_fifth_d_purchased_day_ucounts,dp_trend_d_purchased_day_ucounts_df,dp_d_has_p_ucounts,dp_first_d_has_p_ucounts,dp_second_d_has_p_ucounts,dp_fourth_d_has_p_ucounts,dp_fifth_d_has_p_ucounts,dp_trend_d_has_p_ucounts_df,dp_d_has_u_ucounts,dp_first_d_has_u_ucounts,dp_second_d_has_u_ucounts,dp_fourth_d_has_u_ucounts,dp_fifth_d_has_u_ucounts,dp_trend_d_has_u_ucounts_df,dpt_monthly_d_purchased_counts_mean,dpt_monthly_d_purchased_counts_std,dpt_monthly_d_purchased_counts_max,dpt_monthly_d_purchased_counts_median,dpt_monthly_d_purchased_sum_mean,dpt_monthly_d_purchased_sum_std,dpt_monthly_d_purchased_sum_max,dpt_monthly_d_purchased_sum_median,dpt_monthly_d_purchased_day_ucounts_mean,dpt_monthly_d_purchased_day_ucounts_std,dpt_monthly_d_purchased_day_ucounts_max,dpt_monthly_d_purchased_day_ucounts_median,dp_monthly_d_has_p_ucounts_mean,dp_monthly_d_has_p_ucounts_std,dp_monthly_d_has_p_ucounts_max,dp_monthly_d_has_p_ucounts_median,dp_monthly_d_has_u_ucounts_mean,dp_monthly_d_has_u_ucounts_std,dp_monthly_d_has_u_ucounts_max,dp_monthly_d_has_u_ucounts_median,dp_dpt_user_agg_counts_mean,dp_dpt_user_agg_counts_std,dp_dpt_user_agg_counts_max,dp_dpt_user_agg_counts_median,dp_dpt_user_agg_sum_mean,dp_dpt_user_agg_sum_std,dp_dpt_user_agg_sum_max,dp_dpt_user_agg_sum_median,dp_dpt_user_agg_day_ucounts_mean,dp_dpt_user_agg_day_ucounts_std,dp_dpt_user_agg_day_ucounts_max,dp_dpt_user_agg_day_ucounts_median,dp_d_l_w_purchased_counts,dp_d_l_w_purchased_sum,dp_d_l_w_purchased_day_ucounts,dp_d_l_w_has_p_ucounts,dp_d_l_w_has_u_ucounts,dp_d_l_m_purchased_counts,dp_d_l_m_purchased_sum,dp_d_l_m_purchased_day_ucounts,dp_d_l_m_has_p_ucounts,dp_d_l_m_has_u_ucounts,dp_dpt_repeat_buyer_counts,dp_dpt_repeat_buyer_ratio,dp_d_purchased_counts_bias,dp_d_purchased_counts_bias_divide_std,dp_d_purchased_counts_bias_divide_mean,dp_d_purchased_sum__bias,dp_d_purchased_sum__bias_divide_std,dp_d_purchased_sum__bias_divide_mean,dp_d_purchased_day_ucounts_bias,dp_d_purchased_day_ucounts_bias_divide_std,dp_d_purchased_day_ucounts_bias_divide_mean,dp_d_has_u_ucounts_bias,dp_d_has_u_ucounts_bias_divide_std,dp_d_has_u_ucounts_bias_divide_mean
10000,75,323.69999999999976,48,18.0,14.0,25.0,18.0,1.1,80.70000000000002,83.00000000000001,80.80000000000003,79.2,-0.6700000000000031,10.0,9.0,14.0,15.0,2.0,14,10.0,10.0,7.0,7.0,-1.2,43,13.0,11.0,16.0,16.0,1.4,18.75,4.573474244670748,25.0,18.0,80.92500000000001,1.5649813630413234,83.00000000000001,80.75000000000003,12.0,2.943920288775949,15.0,12.0,8.5,1.7320508075688772,10.0,8.5,14.0,2.449489742783178,16.0,14.5,1.744186046511628,1.0931175002370395,6.0,1.0,7.527906976744186,5.549145175756068,32.400000000000006,6.2,1.3953488372093024,0.7910070399939841,4.0,1.0,2.0,9.2,2.0,2.0,2.0,18.0,79.2,15.0,7.0,16.0,11.0,0.2558139534883721,-1.0,-0.1796053020267749,-0.05263157894736842,-2.3000000000000114,-1.7692307692307834,-0.028220858895705657,4.0,1.5118578920369088,0.36363636363636365,2.666666666666666,1.0596258856520346,0.19999999999999996
10001,18,103.90000000000003,16,9.0,2.0,2.0,5.0,-1.2,72.60000000000001,8.9,8.9,13.5,-17.73,8.0,2.0,2.0,4.0,-1.2,4,3.0,2.0,2.0,1.0,-0.6,12,8.0,2.0,2.0,2.0,-1.8,4.5,3.3166247903554,9.0,3.5,25.975000000000005,31.158880489089036,72.60000000000001,11.2,4.0,2.8284271247461903,8.0,3.0,2.0,0.816496580927726,3.0,2.0,3.5,3.0,8.0,2.0,1.5,1.0,4.0,1.0,8.658333333333333,5.82728040939313,24.8,9.0,1.4166666666666667,0.9962049198956218,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,13.5,4.0,1.0,2.0,2.0,0.16666666666666666,0.666666666666667,0.16495721976846456,0.15384615384615394,-16.63333333333334,-0.4522728168377132,-0.5519911504424779,0.0,0.0,0.0,-2.0,-0.5773502691896258,-0.5
10002,46,278.4,32,5.0,9.0,15.0,17.0,4.2,22.5,65.69999999999999,107.2,83.0,22.300000000000004,4.0,6.0,11.0,11.0,2.6,25,5.0,9.0,10.0,12.0,2.2,29,4.0,7.0,11.0,12.0,2.8,11.5,5.507570547286102,17.0,12.0,69.6,35.71619613938005,107.2,74.35,8.0,3.559026084010437,11.0,8.5,9.0,2.943920288775949,12.0,9.5,8.5,3.696845502136472,12.0,9.0,1.5862068965517242,1.3500592944467913,8.0,1.0,9.6,13.433247666039023,70.4,5.4,1.2758620689655173,0.5913997756013109,3.0,1.0,3.0,16.2,3.0,3.0,3.0,17.0,83.0,11.0,12.0,12.0,6.0,0.20689655172413793,7.333333333333334,1.4569855927715483,0.7586206896551725,17.866666666666674,0.42185282700788723,0.27430910951893567,4.0,1.1094003924504583,0.5714285714285714,4.666666666666667,1.3288211940534989,0.6363636363636365
10008,21,117.59999999999998,15,9.0,0.0,6.0,6.0,-0.3,49.99999999999999,0.0,38.0,29.6,-2.3199999999999976,4.0,0.0,6.0,5.0,0.9,9,5.0,0.0,4.0,4.0,0.1,11,3.0,0.0,5.0,4.0,0.8,5.25,3.774917217635375,9.0,6.0,29.4,21.312906887611554,49.99999999999999,33.8,3.75,2.6299556396765835,6.0,4.5,3.25,2.217355782608345,5.0,4.0,3.0,2.160246899469287,5.0,3.5,1.9090909090909092,1.4459976109624424,6.0,2.0,10.69090909090909,7.246717125078714,29.6,8.0,1.3636363636363635,0.504524979109513,2.0,1.0,1.0,4.0,1.0,1.0,1.0,6.0,29.6,5.0,4.0,4.0,4.0,0.36363636363636365,1.0,0.2182178902359924,0.2,0.26666666666666927,0.01021618888477604,0.00909090909090918,1.6666666666666665,0.5455447255899809,0.49999999999999994,1.3333333333333335,0.5298129428260175,0.5000000000000001
10100,7,49.1,4,1.0,0.0,0.0,6.0,1.5,16.8,0.0,0.0,32.3,4.649999999999999,1.0,0.0,0.0,3.0,0.6,3,1.0,0.0,0.0,2.0,0.3,5,1.0,0.0,0.0,4.0,0.9,1.75,2.8722813232690143,6.0,0.5,12.274999999999999,15.5223226354821,32.3,8.4,1.0,1.4142135623730951,3.0,0.5,0.75,0.9574271077563381,2.0,0.5,1.25,1.8929694486000912,4.0,0.5,1.4,0.5477225575051661,2.0,1.0,9.82,5.687002725513678,16.8,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,32.3,3.0,2.0,4.0,0.0,0.0,5.666666666666667,9.814954576223638,17.000000000000004,26.699999999999996,2.752723604886251,4.7678571428571415,2.6666666666666665,4.618802153517005,8.0,3.6666666666666665,6.350852961085883,11.0
10101,1,11.9,1,1.0,0.0,0.0,0.0,-0.3,11.9,0.0,0.0,0.0,-3.5700000000000003,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,2.975,5.950000000000001,11.9,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,11.9,0.0,11.9,11.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-3.966666666666667,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
10102,3,44.400000000000006,3,3.0,0.0,0.0,0.0,-0.9,44.400000000000006,0.0,0.0,0.0,-13.320000000000002,3.0,0.0,0.0,0.0,-0.9,1,1.0,0.0,0.0,0.0,-0.3,3,3.0,0.0,0.0,0.0,-0.9,0.75,1.5,3.0,0.0,11.100000000000001,22.200000000000003,44.400000000000006,0.0,0.75,1.5,3.0,0.0,0.25,0.5,1.0,0.0,0.75,1.5,3.0,0.0,1.0,0.0,1.0,1.0,14.800000000000002,2.175583928816829e-15,14.8,14.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.5773502691896258,-1.0,-14.800000000000002,-0.5773502691896258,-1.0,-1.0,-0.5773502691896258,-1.0,-1.0,-0.5773502691896258,-1.0
10103,3,32.5,3,2.0,0.0,0.0,1.0,-0.3,29.0,0.0,0.0,3.5,-7.65,2.0,0.0,0.0,1.0,-0.3,2,1.0,0.0,0.0,1.0,0.0,3,2.0,0.0,0.0,1.0,-0.3,0.75,0.9574271077563381,2.0,0.5,8.125,14.01412977438604,29.0,1.75,0.75,0.9574271077563381,2.0,0.5,0.5,0.5773502691896257,1.0,0.5,0.75,0.9574271077563381,2.0,0.5,1.0,0.0,1.0,1.0,10.833333333333334,6.3508529610858835,14.5,14.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,1.0,1.0,1.0,0.0,0.0,0.33333333333333337,0.28867513459481287,0.5000000000000001,-6.166666666666666,-0.36830965448303704,-0.6379310344827586,0.33333333333333337,0.28867513459481287,0.5000000000000001,0.33333333333333337,0.28867513459481287,0.5000000000000001
10109,12,196.60000000000005,10,7.0,0.0,4.0,1.0,-1.4,112.6,0.0,67.2,16.8,-22.02,6.0,0.0,3.0,1.0,-1.2,7,4.0,0.0,3.0,1.0,-0.6,9,6.0,0.0,3.0,1.0,-1.2,3.0,3.1622776601683795,7.0,2.5,49.150000000000006,51.03577176843709,112.6,42.0,2.5,2.6457513110645907,6.0,2.0,2.0,1.8257418583505538,4.0,2.0,2.5,2.6457513110645907,6.0,2.0,1.3333333333333333,0.5,2.0,1.0,21.844444444444445,7.967921797920571,33.6,16.8,1.2222222222222223,0.4409585518440984,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.8,1.0,1.0,1.0,2.0,0.2222222222222222,-2.6666666666666665,-0.7593263966019991,-0.7272727272727273,-43.13333333333334,-0.7613920092842218,-0.7196885428253615,-2.0,-0.6666666666666666,-0.6666666666666666,-2.0,-0.6666666666666666,-0.6666666666666666
10110,27,134.89000000000004,19,12.0,4.0,3.0,8.0,-1.3,74.5,18.6,13.9,27.89,-14.452999999999998,7.0,3.0,3.0,6.0,-0.3,7,5.0,4.0,3.0,3.0,-0.7,18,9.0,4.0,3.0,5.0,-1.3,6.75,4.112987559751022,12.0,6.0,33.7225,27.799544810422105,74.5,23.245,4.75,2.0615528128088303,7.0,4.5,3.75,0.9574271077563381,5.0,3.5,5.25,2.6299556396765835,9.0,4.5,1.5,0.7859052479933758,3.0,1.0,7.493888888888888,3.292589074035434,13.0,6.5,1.2222222222222223,0.42779263194649864,2.0,1.0,2.0,8.89,2.0,2.0,2.0,8.0,27.89,6.0,3.0,5.0,4.0,0.2222222222222222,1.666666666666667,0.33786868919974306,0.26315789473684215,-7.776666666666664,-0.23067497629144323,-0.21803738317757002,1.666666666666667,0.7216878364870324,0.3846153846153847,-0.33333333333333304,-0.10369516947304244,-0.062499999999999944
