vipno,up_plu_counts,up_plu_sum,up_plu_day_ucounts,up_first_plu_counts,up_second_plu_counts,up_fourth_plu_counts,up_fifth_plu_counts,up_trend_plu_counts,up_first_plu_sum,up_second_plu_sum,up_fourth_plu_sum,up_fifth_plu_sum,up_trend_plu_sum,up_first_plu_day_ucounts,up_second_plu_day_ucounts,up_fourth_plu_day_ucounts,up_fifth_plu_day_ucounts,up_trend_plu_day_ucounts,up_plu_ucounts,up_bnd_ucounts,up_dpt_ucounts,up_first_plu_ucounts,up_second_plu_ucounts,up_fourth_plu_ucounts,up_fifth_plu_ucounts,up_trend_plu_ucounts,up_first_bnd_ucount,up_second_bnd_ucount,up_fourth_bnd_ucount,up_fifth_bnd_ucount,up_trend_bnd_ucounts,up_first_dpt_ucounts,up_second_dpt_ucounts,up_fourth_dpt_ucounts,up_fifth_dpt_ucounts,up_trend_dpt_ucounts,up_monthly_plu_counts_mean,up_monthly_plu_counts_std,up_monthly_plu_counts_max,up_monthly_plu_counts_median,up_monthly_plu_sum_mean,up_monthly_plu_sum_std,up_monthly_plu_sum_max,up_monthly_plu_sum_median,up_monthly_plu_day_ucounts_mean,up_monthly_plu_day_ucounts_std,up_monthly_plu_day_ucounts_max,up_monthly_plu_day_ucounts_median,up_monthly_plu_ucounts_mean,up_monthly_plu_ucounts_std,up_monthly_plu_ucounts_max,up_monthly_plu_ucounts_median,up_monthly_bnd_ucounts_mean,up_monthly_bnd_ucounts_std,up_monthly_bnd_ucounts_max,up_monthly_bnd_ucounts_median,up_monthly_dpt_ucounts_mean,up_monthly_dpt_ucounts_std,up_monthly_dpt_ucounts_max,up_monthly_dpt_ucounts_median,up_u_plu_agg_counts_mean,up_u_plu_agg_counts_std,up_u_plu_agg_counts_max,up_u_plu_agg_counts_median,up_u_plu_agg_sum_mean,up_u_plu_agg_sum_std,up_u_plu_agg_sum_max,up_u_plu_agg_sum_median,up_u_plu_agg_day_ucounts_mean,up_u_plu_agg_day_ucounts_std,up_u_plu_agg_day_ucounts_max,up_u_plu_agg_day_ucounts_median,up_u_bnd_agg_counts_mean,up_u_bnd_agg_counts_std,up_u_bnd_agg_counts_max,up_u_bnd_agg_counts_median,up_u_bnd_agg_sum_mean,up_u_bnd_agg_sum_std,up_u_bnd_agg_sum_max,up_u_bnd_agg_sum_median,up_u_bnd_agg_day_ucounts_mean,up_u_bnd_agg_day_ucounts_std,up_u_bnd_agg_day_ucounts_max,up_u_bnd_agg_day_ucounts_median,up_u_dpt_agg_counts_mean,up_u_dpt_agg_counts_std,up_u_dpt_agg_counts_max,up_u_dpt_agg_counts_median,up_u_dpt_agg_sum_mean,up_u_dpt_agg_sum_std,up_u_dpt_agg_sum_max,up_u_dpt_agg_sum_median,up_u_dpt_agg_day_ucounts_mean,up_u_dpt_agg_day_ucounts_std,up_u_dpt_agg_day_ucounts_max,up_u_dpt_agg_day_ucounts_median,up_l_w_plu_counts,up_l_w_plu_sum,up_l_w_plu_day_ucounts,up_l_w_plu_ucounts,up_l_w_bnd_ucounts,up_l_w_dpt_ucounts,up_l_m_plu_counts,up_l_m_plu_sum,up_l_m_plu_day_ucounts,up_l_m_plu_ucounts,up_l_m_bnd_ucounts,up_l_m_dpt_ucounts,up_repeat_plu_counts,up_repeat_plu_ratio,up_repeat_bnd_counts,up_repeat_bnd_ratio,up_repeat_dpt_counts,up_repeat_dpt_ratio,up_plu_counts_bias,up_plu_counts_bias_divide_std,up_plu_counts_bias_divide_mean,up_plu_sum_bias,up_plu_sum_bias_divide_std,up_plu_sum_bias_divide_mean,up_plu_day_ucounts_bias,up_plu_day_ucounts_bias_divide_std,up_plu_day_ucounts_bias_divide_mean,up_plu_ucounts_bias,up_plu_ucounts_bias_divide_std,up_plu_ucounts_bias_divide_mean,up_bnd_ucounts_bias,up_bnd_ucounts_bias_divide_std,up_bnd_ucounts_bias_divide_mean,up_dpt_ucounts_bias,up_dpt_ucounts_bias_divide_std,up_dpt_ucounts_bias_divide_mean
781924,13,190.17000000000002,2,0.0,0.0,8.0,5.0,2.3,0.0,0.0,101.65,88.52,36.721000000000004,0.0,0.0,8.0,5.0,2.3,10,9,10,0.0,0.0,8.0,4.0,2.0,0.0,0.0,8.0,3.0,1.7,0.0,0.0,8.0,4.0,2.0,3.25,3.947573094109004,8.0,2.5,47.542500000000004,55.158425391472754,101.65,44.26,3.25,3.947573094109004,8.0,2.5,3.0,3.8297084310253524,8.0,2.0,2.75,3.774917217635375,8.0,1.5,3.0,3.8297084310253524,8.0,2.0,1.3,0.6749485577105528,3.0,1.0,19.017000000000003,18.057506933867334,64.4,13.175,1.2,0.4216370213557839,2.0,1.0,1.125,0.3535533905932738,2.0,1.0,16.806250000000002,19.63212450296707,64.4,10.4,1.125,0.3535533905932738,2.0,1.0,1.3,0.6749485577105528,3.0,1.0,19.017000000000003,18.057506933867334,64.4,13.175,1.2,0.4216370213557839,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,88.52,1.0,4.0,3.0,4.0,2.0,0.2,2.0,0.2222222222222222,2.0,0.2,2.3333333333333335,0.5051814855409225,0.8750000000000001,54.63666666666666,0.9309737592018843,1.6124938514510574,2.3333333333333335,0.5051814855409225,0.8750000000000001,1.3333333333333335,0.28867513459481287,0.5000000000000001,0.3333333333333335,0.07216878364870324,0.12500000000000006,1.3333333333333335,0.28867513459481287,0.5000000000000001
13325038116,11,259.83000000000004,6,0.0,5.0,0.0,6.0,1.3,0.0,55.75,0.0,204.07999999999998,55.649,0.0,5.0,0.0,6.0,1.3,8,6,7,0.0,4.0,0.0,5.0,1.1,0.0,3.0,0.0,5.0,1.2,0.0,4.0,0.0,4.0,0.8,2.75,3.2015621187164243,6.0,2.5,64.9575,96.39986458323821,204.07999999999998,27.875,2.75,3.2015621187164243,6.0,2.5,2.25,2.6299556396765835,5.0,2.0,2.0,2.449489742783178,5.0,1.5,2.0,2.309401076758503,4.0,2.0,1.375,0.7440238091428449,3.0,1.0,32.478750000000005,32.54525747215055,96.0,20.11,1.375,0.7440238091428449,3.0,1.0,1.4,0.8944271909999159,3.0,1.0,42.56,38.180269773798095,96.0,44.7,1.4,0.8944271909999159,3.0,1.0,1.5714285714285714,0.7867957924694432,3.0,1.0,37.118571428571435,54.35805933148933,156.0,12.68,1.4285714285714286,0.7867957924694432,3.0,1.0,2.0,156.0,1.0,2.0,2.0,1.0,6.0,204.07999999999998,3.0,5.0,5.0,4.0,2.0,0.25,2.0,0.3333333333333333,2.0,0.2857142857142857,4.333333333333333,1.501110699893027,2.5999999999999996,185.49666666666664,5.763043072669682,9.981883408071749,4.333333333333333,1.501110699893027,2.5999999999999996,3.666666666666667,1.5877132402714709,2.7500000000000004,4.0,2.3094010767585034,4.0,2.666666666666667,1.1547005383792515,2.0000000000000004
13854627199,30,310.71,10,0.0,4.0,26.0,0.0,2.2,0.0,59.17,251.54000000000005,0.0,19.237000000000002,0.0,4.0,26.0,0.0,2.2,26,7,23,0.0,4.0,22.0,0.0,1.8,0.0,4.0,5.0,0.0,0.1,0.0,4.0,19.0,0.0,1.5,7.5,12.476644848141934,26.0,2.0,77.67750000000001,119.21728688267768,251.54000000000005,29.585,7.5,12.476644848141934,26.0,2.0,6.5,10.503967504392486,22.0,2.0,2.25,2.6299556396765835,5.0,2.0,5.75,9.03234926989282,19.0,2.0,1.1538461538461537,0.36794648440312,2.0,1.0,11.950384615384614,13.671853270356358,63.59,7.98,1.1538461538461537,0.36794648440312,2.0,1.0,1.3333333333333333,0.5163977794943222,2.0,1.0,17.811666666666664,11.167274361573941,35.9,18.45,1.3333333333333333,0.5163977794943222,2.0,1.0,1.3043478260869565,0.4704719688969647,2.0,1.0,13.509130434782607,14.105877857069975,63.59,9.19,1.2608695652173914,0.44897775854487953,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.15384615384615385,3.0,0.42857142857142855,6.0,0.2608695652173913,-10.0,-0.7142857142857143,-1.0,-103.57000000000001,-0.7875052237316944,-1.0,-10.0,-0.7142857142857143,-1.0,-8.666666666666666,-0.7395441611851465,-1.0,-3.0,-1.1338934190276817,-1.0,-7.666666666666667,-0.7653920744856801,-1.0
13864739266,13,110.4,1,0.0,0.0,0.0,13.0,3.9,0.0,0.0,0.0,110.4,33.120000000000005,0.0,0.0,0.0,13.0,3.9,12,7,10,0.0,0.0,0.0,12.0,3.6,0.0,0.0,0.0,7.0,2.1,0.0,0.0,0.0,10.0,3.0,3.25,6.5,13.0,0.0,27.6,55.20000000000001,110.4,0.0,3.25,6.5,13.0,0.0,3.0,6.0,12.0,0.0,1.75,3.5,7.0,0.0,2.5,5.0,10.0,0.0,1.0833333333333333,0.28867513459481287,2.0,1.0,9.200000000000001,4.724981962447534,16.8,8.5,1.0,0.0,1.0,1.0,1.8571428571428572,1.2149857925879117,4.0,1.0,15.771428571428572,16.787268418428916,41.6,6.9,1.0,0.0,1.0,1.0,1.3,0.6749485577105528,3.0,1.0,11.04,8.334959841268317,30.1,9.05,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,110.4,1.0,12.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,110.4,0.0,0.0,13.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,0.0
15954611837,4,54.849999999999994,1,0.0,0.0,0.0,4.0,1.2,0.0,0.0,0.0,54.849999999999994,16.455,0.0,0.0,0.0,4.0,1.2,4,1,4,0.0,0.0,0.0,4.0,1.2,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,4.0,1.2,1.0,2.0,4.0,0.0,13.712499999999999,27.424999999999997,54.849999999999994,0.0,1.0,2.0,4.0,0.0,1.0,2.0,4.0,0.0,0.25,0.5,1.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,13.712499999999999,15.632916927645544,37.16,6.035,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,13.712499999999999,15.632916927645544,37.16,6.035,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,54.849999999999994,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,54.849999999999994,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0
15963883482,23,206.12,4,0.0,7.0,10.0,6.0,2.1,0.0,67.21000000000001,29.600000000000005,109.30999999999999,29.032,0.0,7.0,10.0,6.0,2.1,15,9,11,0.0,5.0,5.0,5.0,1.5,0.0,3.0,4.0,4.0,1.3,0.0,5.0,3.0,5.0,1.3,5.75,4.193248541803041,10.0,6.5,51.53,47.33095040950125,109.30999999999999,48.40500000000001,5.75,4.193248541803041,10.0,6.5,3.75,2.5,5.0,5.0,2.75,1.8929694486000912,4.0,3.5,3.25,2.362907813126304,5.0,4.0,1.5333333333333334,0.7432233529572065,3.0,1.0,13.741333333333332,15.90781248617289,59.489999999999995,8.6,1.0,0.0,1.0,1.0,2.0,1.0690449676496976,4.0,2.0,8.4875,5.669577333704616,19.8,7.9,1.125,0.3535533905932738,2.0,1.0,2.090909090909091,1.7580981459830651,7.0,2.0,18.738181818181815,19.883789788761003,59.489999999999995,11.0,1.1818181818181819,0.40451991747794525,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,109.30999999999999,2.0,5.0,4.0,5.0,0.0,0.0,2.0,0.2222222222222222,2.0,0.18181818181818182,0.33333333333333304,0.06495698024616303,0.05882352941176465,77.03999999999999,2.2871082077401885,2.387356678029129,0.33333333333333304,0.06495698024616303,0.05882352941176465,1.6666666666666665,0.5773502691896256,0.49999999999999994,1.6666666666666665,0.8006407690254355,0.7142857142857142,2.3333333333333335,0.9271726499455306,0.8750000000000001
15963885355,25,199.12,4,0.0,11.0,3.0,11.0,2.5,0.0,66.85000000000001,19.5,112.77,29.095999999999993,0.0,11.0,3.0,11.0,2.5,20,8,17,0.0,10.0,3.0,8.0,1.7,0.0,2.0,3.0,5.0,1.6,0.0,9.0,3.0,8.0,1.8,6.25,5.619905100029122,11.0,7.0,49.78,50.510895854260994,112.77,43.175000000000004,6.25,5.619905100029122,11.0,7.0,5.25,4.573474244670748,10.0,5.5,2.5,2.0816659994661326,5.0,2.5,5.0,4.242640687119285,9.0,5.5,1.25,0.4442616583193193,2.0,1.0,9.956,8.90608213230534,39.32,6.32,1.1,0.3077935056255462,2.0,1.0,1.5714285714285714,0.5345224838248488,2.0,2.0,10.414285714285715,9.094399113635559,26.6,6.0,1.2857142857142858,0.48795003647426666,2.0,1.0,1.4705882352941178,0.6242642728467978,3.0,1.0,11.712941176470588,10.4441716789233,39.32,6.24,1.2352941176470589,0.4372373160976031,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,112.77,2.0,8.0,5.0,8.0,2.0,0.1,3.0,0.375,4.0,0.23529411764705882,6.333333333333333,1.1137997253450433,1.357142857142857,83.98666666666666,2.4430156893319936,2.917892298784018,6.333333333333333,1.1137997253450433,1.357142857142857,3.666666666666667,0.714526782707794,0.8461538461538463,3.333333333333333,2.1821789023599236,1.9999999999999998,4.0,0.8728715609439696,1.0
18554652702,10,105.5,1,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,105.5,31.65,0.0,0.0,0.0,10.0,3.0,9,8,7,0.0,0.0,0.0,9.0,2.7,0.0,0.0,0.0,8.0,2.4,0.0,0.0,0.0,7.0,2.1,2.5,5.0,10.0,0.0,26.375,52.75,105.5,0.0,2.5,5.0,10.0,0.0,2.25,4.5,9.0,0.0,2.0,4.0,8.0,0.0,1.75,3.5,7.0,0.0,1.1111111111111112,0.33333333333333337,2.0,1.0,11.722222222222221,8.99788555408683,35.0,9.6,1.0,0.0,1.0,1.0,1.2857142857142858,0.48795003647426666,2.0,1.0,13.928571428571429,9.815415475280757,35.0,10.0,1.0,0.0,1.0,1.0,1.4285714285714286,0.5345224838248488,2.0,1.0,15.071428571428571,10.48438748579911,35.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,105.5,1.0,9.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,105.5,0.0,0.0,10.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0
18654692914,21,192.07000000000002,5,0.0,3.0,9.0,9.0,3.3,0.0,41.86,70.72,79.49,26.733000000000004,0.0,3.0,9.0,9.0,3.3,15,7,13,0.0,3.0,8.0,6.0,2.3,0.0,3.0,4.0,4.0,1.3,0.0,3.0,7.0,6.0,2.2,5.25,4.5,9.0,6.0,48.0175,35.82139432890164,79.49,56.29,5.25,4.5,9.0,6.0,4.25,3.5,8.0,4.5,2.75,1.8929694486000912,4.0,3.5,4.0,3.1622776601683795,7.0,4.5,1.4,0.828078671210825,4.0,1.0,12.804666666666668,11.03329368429072,42.68,10.09,1.3333333333333333,0.6172133998483676,3.0,1.0,1.5,0.5477225575051661,2.0,1.5,12.616666666666667,17.39981800671107,47.2,6.1,1.5,0.5477225575051661,2.0,1.5,1.6153846153846154,1.386750490563073,6.0,1.0,14.774615384615386,15.161847741059692,59.089999999999996,10.09,1.4615384615384615,0.8770580193070292,4.0,1.0,4.0,33.660000000000004,1.0,3.0,3.0,3.0,9.0,79.49,2.0,6.0,4.0,6.0,4.0,0.26666666666666666,4.0,0.5714285714285714,4.0,0.3076923076923077,5.0,1.091089451179962,1.25,41.96333333333333,1.1801182160469454,1.1182270385503643,5.0,1.091089451179962,1.25,2.3333333333333335,0.5773502691896257,0.6363636363636365,1.6666666666666665,0.8006407690254355,0.7142857142857142,2.6666666666666665,0.7593263966019992,0.7999999999999999
18764569988,6,73.2,1,0.0,6.0,0.0,0.0,-0.6,0.0,73.2,0.0,0.0,-7.32,0.0,6.0,0.0,0.0,-0.6,5,2,5,0.0,5.0,0.0,0.0,-0.5,0.0,2.0,0.0,0.0,-0.2,0.0,5.0,0.0,0.0,-0.5,1.5,3.0,6.0,0.0,18.3,36.6,73.2,0.0,1.5,3.0,6.0,0.0,1.25,2.5,5.0,0.0,0.5,1.0,2.0,0.0,1.25,2.5,5.0,0.0,1.2,0.4472135954999579,2.0,1.0,14.64,13.105289008640746,35.62,13.62,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2,0.0,0.2,0.2,1.0,0.0,1.0,1.0,1.2,0.4472135954999579,2.0,1.0,14.64,13.105289008640746,35.62,13.62,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-0.5773502691896258,-1.0,-24.400000000000002,-0.5773502691896258,-1.0,-2.0,-0.5773502691896258,-1.0,-1.6666666666666667,-0.5773502691896258,-1.0,-0.6666666666666666,-0.5773502691896256,-1.0,-1.6666666666666667,-0.5773502691896258,-1.0
